
###################################################################
###################################################################
###################################################################

Current time: 2023-10-17 02:06:48.616662

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0.3, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: correction_LSTMs


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in first model : 203016

The number of parameter in second model : 201480

Epoch [1/2000], First Loss: 394.5832, Second Loss: -77777.0000, Val Loss: 340.5486 [(kW/hour)^2], MinVal : 340.5486145019531
Epoch [2/2000], First Loss: 392.3295, Second Loss: -77777.0000, Val Loss: 338.5049 [(kW/hour)^2], MinVal : 338.5048522949219
Epoch [3/2000], First Loss: 390.0018, Second Loss: -77777.0000, Val Loss: 336.2722 [(kW/hour)^2], MinVal : 336.2721862792969
Epoch [4/2000], First Loss: 387.4602, Second Loss: -77777.0000, Val Loss: 333.7069 [(kW/hour)^2], MinVal : 333.7069091796875
Epoch [5/2000], First Loss: 384.5415, Second Loss: -77777.0000, Val Loss: 330.6016 [(kW/hour)^2], MinVal : 330.60162353515625
Epoch [6/2000], First Loss: 381.0111, Second Loss: -77777.0000, Val Loss: 326.6429 [(kW/hour)^2], MinVal : 326.6429443359375
Epoch [7/2000], First Loss: 376.5136, Second Loss: -77777.0000, Val Loss: 321.3406 [(kW/hour)^2], MinVal : 321.3406066894531
Epoch [8/2000], First Loss: 370.4929, Second Loss: -77777.0000, Val Loss: 313.9071 [(kW/hour)^2], MinVal : 313.9070739746094
Epoch [9/2000], First Loss: 362.0513, Second Loss: -77777.0000, Val Loss: 303.1937 [(kW/hour)^2], MinVal : 303.1936950683594
Epoch [10/2000], First Loss: 349.8625, Second Loss: -77777.0000, Val Loss: 288.1927 [(kW/hour)^2], MinVal : 288.1927490234375
Epoch [11/2000], First Loss: 332.6850, Second Loss: -77777.0000, Val Loss: 269.7433 [(kW/hour)^2], MinVal : 269.7432556152344
Epoch [12/2000], First Loss: 311.1961, Second Loss: -77777.0000, Val Loss: 251.2638 [(kW/hour)^2], MinVal : 251.2638397216797
Epoch [13/2000], First Loss: 288.9709, Second Loss: -77777.0000, Val Loss: 236.1088 [(kW/hour)^2], MinVal : 236.10882568359375
Epoch [14/2000], First Loss: 269.9223, Second Loss: -77777.0000, Val Loss: 225.1492 [(kW/hour)^2], MinVal : 225.1492156982422
Epoch [15/2000], First Loss: 255.4303, Second Loss: -77777.0000, Val Loss: 217.4725 [(kW/hour)^2], MinVal : 217.47247314453125
Epoch [16/2000], First Loss: 244.7232, Second Loss: -77777.0000, Val Loss: 212.0050 [(kW/hour)^2], MinVal : 212.0049591064453
Epoch [17/2000], First Loss: 236.6657, Second Loss: -77777.0000, Val Loss: 207.9319 [(kW/hour)^2], MinVal : 207.93190002441406
Epoch [18/2000], First Loss: 230.3538, Second Loss: -77777.0000, Val Loss: 204.7398 [(kW/hour)^2], MinVal : 204.73976135253906
Epoch [19/2000], First Loss: 225.2513, Second Loss: -77777.0000, Val Loss: 202.2679 [(kW/hour)^2], MinVal : 202.2679443359375
Epoch [20/2000], First Loss: 221.0775, Second Loss: -77777.0000, Val Loss: 200.3560 [(kW/hour)^2], MinVal : 200.35597229003906
Epoch [21/2000], First Loss: 217.6451, Second Loss: -77777.0000, Val Loss: 198.8835 [(kW/hour)^2], MinVal : 198.88345336914062
Epoch [22/2000], First Loss: 214.8074, Second Loss: -77777.0000, Val Loss: 197.7509 [(kW/hour)^2], MinVal : 197.75094604492188
Epoch [23/2000], First Loss: 212.4664, Second Loss: -77777.0000, Val Loss: 196.8750 [(kW/hour)^2], MinVal : 196.875
Epoch [24/2000], First Loss: 210.5287, Second Loss: -77777.0000, Val Loss: 196.1780 [(kW/hour)^2], MinVal : 196.177978515625
Epoch [25/2000], First Loss: 208.9301, Second Loss: -77777.0000, Val Loss: 195.5996 [(kW/hour)^2], MinVal : 195.599609375
Epoch [26/2000], First Loss: 207.5201, Second Loss: -77777.0000, Val Loss: 195.0533 [(kW/hour)^2], MinVal : 195.05325317382812
Epoch [27/2000], First Loss: 206.2512, Second Loss: -77777.0000, Val Loss: 194.6330 [(kW/hour)^2], MinVal : 194.63296508789062
Epoch [28/2000], First Loss: 205.0954, Second Loss: -77777.0000, Val Loss: 194.1463 [(kW/hour)^2], MinVal : 194.14633178710938
Epoch [29/2000], First Loss: 204.0173, Second Loss: -77777.0000, Val Loss: 193.3665 [(kW/hour)^2], MinVal : 193.3665313720703
Epoch [30/2000], First Loss: 202.9044, Second Loss: -77777.0000, Val Loss: 192.6674 [(kW/hour)^2], MinVal : 192.6674041748047
Epoch [31/2000], First Loss: 201.7951, Second Loss: -77777.0000, Val Loss: 191.9840 [(kW/hour)^2], MinVal : 191.98402404785156
Epoch [32/2000], First Loss: 200.8602, Second Loss: -77777.0000, Val Loss: 191.2281 [(kW/hour)^2], MinVal : 191.22811889648438
Epoch [33/2000], First Loss: 199.8144, Second Loss: -77777.0000, Val Loss: 190.4255 [(kW/hour)^2], MinVal : 190.42552185058594
Epoch [34/2000], First Loss: 199.0303, Second Loss: -77777.0000, Val Loss: 189.6650 [(kW/hour)^2], MinVal : 189.6649932861328
Epoch [35/2000], First Loss: 198.0615, Second Loss: -77777.0000, Val Loss: 189.1145 [(kW/hour)^2], MinVal : 189.11447143554688
Epoch [36/2000], First Loss: 197.2522, Second Loss: -77777.0000, Val Loss: 188.3562 [(kW/hour)^2], MinVal : 188.35618591308594
Epoch [37/2000], First Loss: 196.7293, Second Loss: -77777.0000, Val Loss: 187.6712 [(kW/hour)^2], MinVal : 187.6711883544922
Epoch [38/2000], First Loss: 196.2819, Second Loss: -77777.0000, Val Loss: 187.2550 [(kW/hour)^2], MinVal : 187.2550048828125
Epoch [39/2000], First Loss: 195.5694, Second Loss: -77777.0000, Val Loss: 187.1634 [(kW/hour)^2], MinVal : 187.16336059570312
Epoch [40/2000], First Loss: 195.1034, Second Loss: -77777.0000, Val Loss: 186.5182 [(kW/hour)^2], MinVal : 186.51821899414062
Epoch [41/2000], First Loss: 194.5048, Second Loss: -77777.0000, Val Loss: 185.9384 [(kW/hour)^2], MinVal : 185.9384307861328
Epoch [42/2000], First Loss: 193.9183, Second Loss: -77777.0000, Val Loss: 185.4011 [(kW/hour)^2], MinVal : 185.4010772705078
Epoch [43/2000], First Loss: 193.4209, Second Loss: -77777.0000, Val Loss: 185.0247 [(kW/hour)^2], MinVal : 185.02468872070312
Epoch [44/2000], First Loss: 192.8566, Second Loss: -77777.0000, Val Loss: 184.4153 [(kW/hour)^2], MinVal : 184.41526794433594
Epoch [45/2000], First Loss: 192.3190, Second Loss: -77777.0000, Val Loss: 183.5219 [(kW/hour)^2], MinVal : 183.5219268798828
Epoch [46/2000], First Loss: 191.7919, Second Loss: -77777.0000, Val Loss: 183.2330 [(kW/hour)^2], MinVal : 183.23297119140625
Epoch [47/2000], First Loss: 191.1906, Second Loss: -77777.0000, Val Loss: 182.4908 [(kW/hour)^2], MinVal : 182.49078369140625
Epoch [48/2000], First Loss: 190.5173, Second Loss: -77777.0000, Val Loss: 182.4356 [(kW/hour)^2], MinVal : 182.43556213378906
Epoch [49/2000], First Loss: 189.8965, Second Loss: -77777.0000, Val Loss: 181.9547 [(kW/hour)^2], MinVal : 181.95469665527344
Epoch [50/2000], First Loss: 189.4618, Second Loss: -77777.0000, Val Loss: 181.5905 [(kW/hour)^2], MinVal : 181.59046936035156
Epoch [51/2000], First Loss: 189.0388, Second Loss: -77777.0000, Val Loss: 180.8811 [(kW/hour)^2], MinVal : 180.881103515625
Epoch [52/2000], First Loss: 188.7437, Second Loss: -77777.0000, Val Loss: 180.2273 [(kW/hour)^2], MinVal : 180.227294921875
Epoch [53/2000], First Loss: 188.3273, Second Loss: -77777.0000, Val Loss: 179.7174 [(kW/hour)^2], MinVal : 179.71737670898438
Epoch [54/2000], First Loss: 187.7339, Second Loss: -77777.0000, Val Loss: 178.9325 [(kW/hour)^2], MinVal : 178.93252563476562
Epoch [55/2000], First Loss: 187.0921, Second Loss: -77777.0000, Val Loss: 178.6477 [(kW/hour)^2], MinVal : 178.64768981933594
Epoch [56/2000], First Loss: 186.7705, Second Loss: -77777.0000, Val Loss: 178.2242 [(kW/hour)^2], MinVal : 178.2241973876953
Epoch [57/2000], First Loss: 186.4453, Second Loss: -77777.0000, Val Loss: 177.7497 [(kW/hour)^2], MinVal : 177.74974060058594
Epoch [58/2000], First Loss: 185.9664, Second Loss: -77777.0000, Val Loss: 177.3703 [(kW/hour)^2], MinVal : 177.3702850341797
Epoch [59/2000], First Loss: 185.7398, Second Loss: -77777.0000, Val Loss: 176.9612 [(kW/hour)^2], MinVal : 176.96119689941406
