
###################################################################
###################################################################
###################################################################

Current time: 2023-10-24 07:49:18.817848

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: RNN


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in model : 50952

Epoch [1/2000], Trn Loss: 395.5474, Val Loss: 334.4415 [(kW/hour)^2], MinVal : 334.44146728515625
Epoch [2/2000], Trn Loss: 385.3307, Val Loss: 324.9348 [(kW/hour)^2], MinVal : 324.9348449707031
Epoch [3/2000], Trn Loss: 374.5179, Val Loss: 313.1686 [(kW/hour)^2], MinVal : 313.1686096191406
Epoch [4/2000], Trn Loss: 361.0671, Val Loss: 297.2692 [(kW/hour)^2], MinVal : 297.26922607421875
Epoch [5/2000], Trn Loss: 342.7440, Val Loss: 276.3912 [(kW/hour)^2], MinVal : 276.3912048339844
Epoch [6/2000], Trn Loss: 318.3109, Val Loss: 253.3332 [(kW/hour)^2], MinVal : 253.33323669433594
Epoch [7/2000], Trn Loss: 290.5617, Val Loss: 234.2295 [(kW/hour)^2], MinVal : 234.2295379638672
Epoch [8/2000], Trn Loss: 266.4684, Val Loss: 222.0618 [(kW/hour)^2], MinVal : 222.06182861328125
Epoch [9/2000], Trn Loss: 250.1281, Val Loss: 214.8069 [(kW/hour)^2], MinVal : 214.80691528320312
Epoch [10/2000], Trn Loss: 239.7525, Val Loss: 210.2514 [(kW/hour)^2], MinVal : 210.25135803222656
Epoch [11/2000], Trn Loss: 232.9057, Val Loss: 207.1745 [(kW/hour)^2], MinVal : 207.17445373535156
Epoch [12/2000], Trn Loss: 227.9866, Val Loss: 204.9827 [(kW/hour)^2], MinVal : 204.9827423095703
Epoch [13/2000], Trn Loss: 224.3239, Val Loss: 203.4328 [(kW/hour)^2], MinVal : 203.4327850341797
Epoch [14/2000], Trn Loss: 221.5581, Val Loss: 202.2095 [(kW/hour)^2], MinVal : 202.2095489501953
Epoch [15/2000], Trn Loss: 219.2989, Val Loss: 201.3271 [(kW/hour)^2], MinVal : 201.3271484375
Epoch [16/2000], Trn Loss: 217.5280, Val Loss: 200.7425 [(kW/hour)^2], MinVal : 200.74252319335938
Epoch [17/2000], Trn Loss: 216.0828, Val Loss: 200.2147 [(kW/hour)^2], MinVal : 200.21466064453125
Epoch [18/2000], Trn Loss: 214.8818, Val Loss: 199.7713 [(kW/hour)^2], MinVal : 199.7713165283203
Epoch [19/2000], Trn Loss: 213.7232, Val Loss: 199.4456 [(kW/hour)^2], MinVal : 199.4456024169922
Epoch [20/2000], Trn Loss: 212.7600, Val Loss: 199.1182 [(kW/hour)^2], MinVal : 199.11819458007812
Epoch [21/2000], Trn Loss: 211.8306, Val Loss: 198.8834 [(kW/hour)^2], MinVal : 198.8834228515625
