
###################################################################
###################################################################
###################################################################

Current time: 2023-10-24 07:49:31.068821

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: RCNN


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in model : 210648

Epoch [1/2000], Trn Loss: 396.3737, Val Loss: 308.9134 [(kW/hour)^2], MinVal : 308.9134216308594
Epoch [2/2000], Trn Loss: 381.1542, Val Loss: 284.0046 [(kW/hour)^2], MinVal : 284.004638671875
Epoch [3/2000], Trn Loss: 374.7558, Val Loss: 284.5113 [(kW/hour)^2], MinVal : 284.004638671875
Epoch [4/2000], Trn Loss: 370.3230, Val Loss: 293.8286 [(kW/hour)^2], MinVal : 284.004638671875
Epoch [5/2000], Trn Loss: 365.8781, Val Loss: 294.0818 [(kW/hour)^2], MinVal : 284.004638671875
Epoch [6/2000], Trn Loss: 361.7319, Val Loss: 294.8838 [(kW/hour)^2], MinVal : 284.004638671875
Epoch [7/2000], Trn Loss: 358.7751, Val Loss: 299.6242 [(kW/hour)^2], MinVal : 284.004638671875
Epoch [8/2000], Trn Loss: 356.5960, Val Loss: 306.0248 [(kW/hour)^2], MinVal : 284.004638671875
Epoch [9/2000], Trn Loss: 354.8819, Val Loss: 312.4959 [(kW/hour)^2], MinVal : 284.004638671875
Epoch [10/2000], Trn Loss: 353.5121, Val Loss: 318.4426 [(kW/hour)^2], MinVal : 284.004638671875
Epoch [11/2000], Trn Loss: 352.2968, Val Loss: 323.9731 [(kW/hour)^2], MinVal : 284.004638671875
Epoch [12/2000], Trn Loss: 351.1162, Val Loss: 329.3156 [(kW/hour)^2], MinVal : 284.004638671875
Epoch [13/2000], Trn Loss: 349.8475, Val Loss: 334.6975 [(kW/hour)^2], MinVal : 284.004638671875
Epoch [14/2000], Trn Loss: 348.5798, Val Loss: 340.4435 [(kW/hour)^2], MinVal : 284.004638671875
Epoch [15/2000], Trn Loss: 347.3707, Val Loss: 345.5072 [(kW/hour)^2], MinVal : 284.004638671875
Epoch [16/2000], Trn Loss: 346.1970, Val Loss: 348.5826 [(kW/hour)^2], MinVal : 284.004638671875
Epoch [17/2000], Trn Loss: 345.0832, Val Loss: 349.3826 [(kW/hour)^2], MinVal : 284.004638671875
Epoch [18/2000], Trn Loss: 343.9625, Val Loss: 348.0865 [(kW/hour)^2], MinVal : 284.004638671875
Epoch [19/2000], Trn Loss: 342.7845, Val Loss: 345.0006 [(kW/hour)^2], MinVal : 284.004638671875
Epoch [20/2000], Trn Loss: 341.4323, Val Loss: 340.1462 [(kW/hour)^2], MinVal : 284.004638671875
